Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(18.56, 18.98]","(180.85, 183.8]","(3600.0, 3780.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(17.3, 17.72]","(183.8, 186.75]","(3780.0, 3960.0]",FEMALE,"(8.948, 9.068]","(-24.757, -24.595]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(17.72, 18.14]","(192.65, 195.6]","(3240.0, 3420.0]",FEMALE,"(8.35, 8.47]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(18.98, 19.4]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(8.709, 8.829]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(20.24, 20.66]","(189.7, 192.65]","(3600.0, 3780.0]",MALE,"(8.589, 8.709]","(-25.403, -25.242]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(17.72, 18.14]","(180.85, 183.8]","(3600.0, 3780.0]",FEMALE,"(9.068, 9.188]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(38.975, 40.35]","(19.4, 19.82]","(192.65, 195.6]","(4500.0, 4680.0]",MALE,"(9.427, 9.547]","(-24.918, -24.757]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(40.35, 41.725]","(17.3, 17.72]","(180.85, 183.8]","(3060.0, 3240.0]",FEMALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(21.08, 21.5]","(189.7, 192.65]","(3780.0, 3960.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(33.475, 34.85]","(21.08, 21.5]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(8.47, 8.589]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(36.225, 37.6]","(17.72, 18.14]","(183.8, 186.75]","(3600.0, 3780.0]",FEMALE,"(8.589, 8.709]","(-25.888, -25.726]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(37.6, 38.975]","(18.98, 19.4]","(192.65, 195.6]","(3420.0, 3600.0]",FEMALE,"(9.068, 9.188]","(-25.08, -24.918]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(41.725, 43.1]","(20.66, 21.08]","(195.6, 198.55]","(4320.0, 4500.0]",MALE,"(8.589, 8.709]","(-25.242, -25.08]"
Adelie Penguin (Pygoscelis adeliae),Torgersen,"(33.475, 34.85]","(18.14, 18.56]","(183.8, 186.75]","(3240.0, 3420.0]",FEMALE,"(8.47, 8.589]","(-25.242, -25.08]"
