Species (num),Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex (num),Delta 15 N (norm.),Delta 13 C (norm.)
1.0,39.1,18.7,181.0,3750.0,0.0,0.4262861225785964,0.3667804647045534
1.0,39.5,17.4,186.0,3800.0,1.0,0.5504504353930237,0.7193108976839054
1.0,40.3,18.0,195.0,3250.0,1.0,0.30753706272667997,0.5216922995973217
1.0,36.7,19.3,193.0,3450.0,1.0,0.47396416573348277,0.5244036436006404
1.0,39.3,20.6,190.0,3650.0,0.0,0.4315321488860293,0.5325160096196999
1.0,38.9,17.8,181.0,3625.0,1.0,0.6497384299109157,0.5572957129194303
1.0,39.2,19.6,195.0,4675.0,0.0,0.763985225050559,0.6558481152135491
1.0,41.1,17.6,182.0,3200.0,1.0,0.4262861225785964,0.3667804647045534
1.0,38.6,21.2,191.0,3800.0,0.0,0.4262861225785964,0.3667804647045534
1.0,34.6,21.1,198.0,4400.0,0.0,0.38593287760525496,0.5548536462315103
1.0,36.6,17.8,185.0,3700.0,1.0,0.4262861225785964,0.3667804647045534
1.0,38.7,19.0,195.0,3450.0,1.0,0.648944527084622,0.6040571115519967
1.0,42.5,20.7,197.0,4500.0,0.0,0.435886079122863,0.581456387907901
1.0,34.4,18.4,184.0,3325.0,1.0,0.35352492854874573,0.5525910977538556
1.0,46.0,21.5,194.0,4200.0,0.0,0.6200631779512297,0.695252362366793
1.0,37.8,18.3,174.0,3400.0,1.0,0.46189266433788495,0.5957249904824394
1.0,37.7,18.7,180.0,3600.0,0.0,0.43059200080225996,0.6049887491604427
1.0,35.9,19.2,189.0,3800.0,1.0,0.664647089301533,0.6140141819386111
1.0,38.2,18.1,185.0,3950.0,0.0,0.3351230967224346,0.5546184154732318
1.0,38.8,17.2,180.0,3800.0,0.0,0.8387541575437484,0.5323581574003292
1.0,35.3,18.9,187.0,3800.0,1.0,0.6604937239892366,0.8224533949060158
1.0,40.6,18.6,183.0,3550.0,0.0,0.5464433153382029,0.5124502069102129
1.0,40.5,17.9,187.0,3200.0,1.0,0.18768698500777162,0.47171814402931744
1.0,37.9,18.6,172.0,3150.0,1.0,0.3141515268004883,0.563368380652889
1.0,40.5,18.9,180.0,3950.0,0.0,0.529854924704585,0.588835205378118
1.0,39.5,16.7,178.0,3250.0,1.0,0.8629974427972119,0.5900299300188493
1.0,37.2,18.1,178.0,3900.0,0.0,0.8755661780682252,0.6216096593177685
1.0,39.5,17.8,188.0,3300.0,1.0,0.8494885594424293,0.6061339515362739
1.0,40.9,18.9,184.0,3900.0,0.0,0.4865579716200631,0.5796054932572339
1.0,36.4,17.0,195.0,3325.0,1.0,0.646099012217747,0.5533896442753813
1.0,39.2,21.1,196.0,4150.0,0.0,0.635489963396901,0.614029657646392
1.0,38.8,20.0,190.0,3950.0,0.0,0.6508540723036553,0.5868357439327486
1.0,42.2,18.5,180.0,3550.0,1.0,0.1736850462135012,0.47148600841259497
1.0,37.6,19.3,181.0,3300.0,1.0,0.7433897143621202,0.6118630585569833
1.0,39.8,19.1,184.0,4650.0,0.0,0.4262861225785964,0.3667804647045534
1.0,36.5,18.0,182.0,3150.0,1.0,0.8595585900285806,0.8034182743347769
1.0,40.8,18.4,195.0,3900.0,0.0,0.4262861225785964,0.3667804647045534
1.0,36.0,18.5,186.0,3100.0,1.0,0.7836740151426522,0.6139584693905976
1.0,44.1,19.7,196.0,4400.0,0.0,0.6706389664220888,0.7711730896012532
1.0,37.0,16.9,185.0,3000.0,1.0,0.7235881064999751,0.6193656816894519
